CRITICAL:root:Some other error!
INFO:root:sl:0.546226682067 sr:0.535024324563
INFO:root:sl:0.422619198166 sr:0.431435434275
INFO:root:sl:0.455705284093 sr:0.51972951714
INFO:root:sl:0.600467529898 sr:0.564568169857
INFO:root:sl:0.60097628591 sr:0.54470058534
INFO:root:sl:0.556021288496 sr:0.593343263178
INFO:root:sl:0.61093383826 sr:0.512333593694
INFO:root:sl:0.653086702117 sr:0.546169704863
INFO:root:sl:0.674018911351 sr:0.585303269734
INFO:root:sl:0.667974538869 sr:0.529508882427
INFO:root:sl:0.658783313184 sr:0.645465875584
INFO:root:sl:0.685364008302 sr:0.623807102579
INFO:root:sl:0.662852951972 sr:0.678605640716
INFO:root:sl:0.688087613457 sr:0.63705434597
INFO:root:sl:0.69003131069 sr:0.60598459713
INFO:root:sl:0.688244606736 sr:0.602808698796
INFO:root:sl:0.643444439849 sr:0.665596193096
INFO:root:sl:0.737320680466 sr:0.571404930071
INFO:root:sl:0.612417977447 sr:0.673042112828
INFO:root:sl:0.719192656722 sr:0.696251556416
INFO:root:sl:0.642583233106 sr:0.71164849121
INFO:root:sl:0.676825096805 sr:0.689355760563
INFO:root:sl:0.70621834768 sr:0.649922149284
INFO:root:sl:0.711069852084 sr:0.678629078335
INFO:root:sl:0.745901052752 sr:0.618964831876
INFO:root:sl:0.763116979976 sr:0.626768052077
INFO:root:sl:0.774285991873 sr:0.604541864952
INFO:root:sl:0.735117934185 sr:0.672657538154
INFO:root:sl:0.725503838398 sr:0.717777331849
INFO:root:sl:0.741284194593 sr:0.720305655473
INFO:root:sl:0.669648524451 sr:0.725133321884
INFO:root:sl:0.676247697041 sr:0.759885623852
INFO:root:sl:0.659721953971 sr:0.744268494337
INFO:root:sl:0.638496896551 sr:0.78969842932
INFO:root:sl:0.653120000541 sr:0.791770033562
INFO:root:sl:0.60656633683 sr:0.865025494064
INFO:root:sl:0.605311044802 sr:0.777108012652
INFO:root:sl:0.646515788627 sr:0.83078026228
INFO:root:sl:0.68107227581 sr:0.814958266912
INFO:root:sl:0.73373456639 sr:0.813234133559
INFO:root:sl:0.738050987123 sr:0.835910202209
