INFO:root:Interrupt from controller, Mission cancelled.
INFO:root:sl:-0.0721142507112 sr:-0.102493574571 heading:-62, velocity:[None, None, None]
INFO:root:sl:-0.139562754578 sr:-0.033738097394 heading:-62, velocity:[None, None, None]
INFO:root:sl:-0.0602686018142 sr:-0.0415819282482 heading:-62, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-62, velocity:[None, None, None]
INFO:root:sl:0.0927334338737 sr:0.127405251078 heading:-62, velocity:[None, None, None]
INFO:root:sl:-0.000675073791703 sr:-0.0728272001683 heading:-62, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-62, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-62, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-62, velocity:[None, None, None]
INFO:root:sl:0.0543015693696 sr:0.134896254532 heading:-62, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-62, velocity:[None, None, None]
INFO:root:sl:0.0358826653972 sr:0.0885265216605 heading:-62, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-62, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-62, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-62, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-62, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-62, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-62, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-62, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-62, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-62, velocity:[None, None, None]
INFO:root:sl:0.053289537158 sr:0.1331866396 heading:-62, velocity:[None, None, None]
INFO:root:sl:0.313836854409 sr:0.0513357565492 heading:-62, velocity:[None, None, None]
INFO:root:sl:0.0336994311266 sr:0.0783940823137 heading:-62, velocity:[None, None, None]
INFO:root:sl:0.24311358357 sr:0.0362012430241 heading:-62, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-62, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-62, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-62, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-62, velocity:[None, None, None]
