INFO:root:Initialisation failed! Mission cancelled.
INFO:root:sl:-0.143780280312 sr:-0.200127191411 heading:-62, velocity:[None, None, None]
INFO:root:sl:-0.11751454216 sr:0.00876828514511 heading:-62, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-62, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-62, velocity:[None, None, None]
INFO:root:sl:0.108480935319 sr:0.137153406205 heading:-62, velocity:[None, None, None]
INFO:root:sl:-0.411937724703 sr:-0.495654049397 heading:-62, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-62, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-62, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0627041617016 sr:0.0446739561116 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:-0.0843613338871 sr:-0.164719500695 heading:-63, velocity:[None, None, None]
INFO:root:sl:-0.0995883553376 sr:-0.195882416036 heading:-63, velocity:[None, None, None]
INFO:root:sl:-0.107785702583 sr:-0.199788167329 heading:-63, velocity:[None, None, None]
INFO:root:sl:-0.0427346197279 sr:-0.0800216770236 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.107664381748 sr:0.147310220567 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.185161498489 sr:0.19758462229 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.144907145346 sr:0.197042181998 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0927673290658 sr:0.0746869676241 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0385320632611 sr:0.0976762230208 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.357308648358 sr:0.384258873444 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.10811984045 sr:0.145827106819 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.126457980692 sr:0.270613243233 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.065949445267 sr:0.0484085762339 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0813894820912 sr:0.0489745643495 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0502776482307 sr:0.0395087905311 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0540181568678 sr:0.135108586856 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0729223732221 sr:0.0610648444263 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0536070190997 sr:0.0460754203794 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.00696584543821 sr:0.0146465204644 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0601766587867 sr:0.0400887445663 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.240461081163 sr:0.213022886815 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.141764020948 sr:0.0963894750771 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0727448211699 sr:0.0636365405635 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0479271586881 sr:0.0475072915831 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0234216544094 sr:0.0472801210216 heading:-63, velocity:[None, None, None]
INFO:root:sl:-0.0189398573989 sr:-0.0182471466204 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.00434237635508 sr:0.137323134372 heading:-63, velocity:[None, None, None]
INFO:root:sl:-0.0123714250417 sr:0.245368338597 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.120808927693 sr:0.273562529042 heading:-63, velocity:[None, None, None]
INFO:root:sl:-0.0200471157398 sr:0.0143437802426 heading:-63, velocity:[None, None, None]
INFO:root:sl:-0.180428764811 sr:-0.225124466962 heading:-63, velocity:[None, None, None]
INFO:root:sl:-0.170763647936 sr:-0.168944509542 heading:-63, velocity:[None, None, None]
INFO:root:sl:-0.187947143044 sr:-0.18100820455 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0822380033285 sr:0.072557992655 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.108541713944 sr:0.0917451457691 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.115464355086 sr:0.0566159533431 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.114459230022 sr:0.19895049891 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0458368992572 sr:0.0247404113587 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0750824270595 sr:0.127018187868 heading:-63, velocity:[None, None, None]
INFO:root:sl:0.0991647198087 sr:0.166502442149 heading:-63, velocity:[None, None, None]
INFO:root:Angle:-172.434958742 Distance:6.76101076402
